"NOMBREDI","NOMBREPV","superficie_total_ha","productores_total","parcelas_total","superficie_promedio"
"ILAVE","EL COLLAO",185,18436.1078135017,185,1
"ZEPITA","CHUCUITO",109,4538.17936849222,109,1
"HUANCANE","HUANCANE",104,5407.07309323549,104,1
"ACORA","PUNO",99,24779.3431470322,99,1
"YUNGUYO","YUNGUYO",88,9812.31972234883,88,1
"POMATA","CHUCUITO",81,4384.77133476734,81,1
"MOHO","MOHO",76,4981.65255007893,76,1
"KELLUYO","CHUCUITO",66,1636.63558814151,66,1
"SANTIAGO DE PUPUJA","AZANGARO",65,2396.41002934426,65,1
"VILQUE CHICO","HUANCANE",61,1783.01131132245,61,1
"AZANGARO","AZANGARO",58,2069.7682274431,58,1
"SAMAN","AZANGARO",55,1231.90146538615,55,1
"UMACHIRI","MELGAR",53,1097.17961660959,53,1
"PILCUYO","EL COLLAO",52,9684.47548627853,52,1
"LAMPA","LAMPA",49,1344.58309669606,49,1
"CABANA","SAN ROMAN",47,1612.44922561944,47,1
"CHUPA","AZANGARO",47,1106.39314389974,47,1
"PUCARA","LAMPA",47,635.344541088678,47,1
"ROSASPATA","HUANCANE",46,1128.80926349014,46,1
"CARACOTO","SAN ROMAN",43,966.942123055458,43,1
"PLATERIA","PUNO",43,2368.84892308712,43,1
"ASILLO","AZANGARO",42,1346.96890950203,42,1
"COATA","PUNO",41,1922.30269265175,41,1
"HUACULLANI","CHUCUITO",41,1004.56316486001,41,1
"ARAPA","AZANGARO",40,942.01117458567,40,1
"ORURILLO","MELGAR",37,1086.71506414935,37,1
"TARACO","HUANCANE",36,1192.75100670382,36,1
"JULI","CHUCUITO",34,5551.87196862698,34,1
"JULIACA","SAN ROMAN",34,3159.62497684173,34,1
"PUSI","HUANCANE",34,2868.46968742437,34,1
"DESAGUADERO","CHUCUITO",31,2287.8442915082,31,1
"CALAPUJA","LAMPA",29,366.679066506214,29,1
"CAMINACA","AZANGARO",29,1396.17980264872,29,1
"PUTINA","SAN ANTONIO DE PUTINA",29,319.004436656833,29,1
"AYAPATA","CARABAYA",25,866.654475895689,25,1
"NICASIO","LAMPA",25,482.060872646747,25,1
"QUILCAPUNCU","SAN ANTONIO DE PUTINA",25,1094.32141023874,25,1
"COPANI","YUNGUYO",23,746.784680366516,23,1
"ATUNCOLLA","PUNO",22,2268.03027200699,22,1
"PISACOMA","CHUCUITO",21,1297.44034719467,21,1
"PAUCARCOLLA","PUNO",20,2927.99042248726,20,1
"TIRAPATA","AZANGARO",20,1054.33680400997,20,1
"VILQUE","PUNO",20,469.585165143013,20,1
"AYAVIRI","MELGAR",19,396.691807851196,19,1
"CABANILLA","LAMPA",18,464.706052105874,18,1
"CHUCUITO","PUNO",18,945.35758471489,18,1
"INCHUPALLA","HUANCANE",18,1636.94885516167,18,1
"ACHAYA","AZANGARO",17,574.719895955175,17,1
"PICHACANI","PUNO",15,588.16188788414,15,1
"SAN PEDRO DE PUTINA PUNCO","SANDIA",15,1575.08586502075,15,1
"CAPACHICA","PUNO",12,4420.07234477997,12,1
"CONIMA","MOHO",12,1749.14094531536,12,1
"OLLACHEA","CARABAYA",11,244.332827821374,11,1
"HUAYRAPATA","MOHO",10,296.096805810928,10,1
"ITUATA","CARABAYA",10,145.659363508224,10,1
"LLALLI","MELGAR",10,87.0698285847902,10,1
"COASA","CARABAYA",9,10662.4793319702,9,1
"CONDURIRI","EL COLLAO",9,49.1029582805931,9,1
"CUPI","MELGAR",9,39.0874910950661,9,1
"PEDRO VILCA APAZA","SAN ANTONIO DE PUTINA",9,81.4040641784668,9,1
"ANAPIA","YUNGUYO",8,1087.06571507454,8,1
"ANTAUTA","MELGAR",8,97.7442881483585,8,1
"MAÑAZO","PUNO",8,109.897350311279,8,1
"PUNO","PUNO",8,256.963989257812,8,1
"OLLARAYA","YUNGUYO",7,45.9904314903542,7,1
"SANTA ROSA","MELGAR",7,283.138195991516,7,1
"UNICACHI","YUNGUYO",7,862.487372398376,7,1
"OCUVIRI","LAMPA",6,2.13859718479216,6,1
"SAN ANTON","AZANGARO",6,488.305406093597,6,1
"SAN JUAN DE SALINAS","AZANGARO",6,402.563793897629,6,1
"SAN MIGUEL","SAN ROMAN",6,168.659680366516,6,1
"TILALI","MOHO",6,464.31416797638,6,1
"HUATA","PUNO",5,667.202699184418,5,1
"HUATASANI","HUANCANE",5,277.173373702914,5,1
"MACARI","MELGAR",5,262.78337830305,5,1
"USICAYOS","CARABAYA",5,1182.14435195923,5,1
"CABANILLAS","SAN ROMAN",4,4.09678415209055,4,1
"SAN GABAN","CARABAYA",4,64.5606772899628,4,1
"MUÑANI","AZANGARO",3,275.688735961914,3,1
"PATAMBUCO","SANDIA",3,130.151006698608,3,1
"PHARA","SANDIA",3,218.930767059326,3,1
"QUIACA","SANDIA",3,589.831080436707,3,1
"SANDIA","SANDIA",3,510.243591308593,3,1
"CRUCERO","CARABAYA",2,16.1731616258621,2,1
"CUTURAPI","YUNGUYO",2,45.1143188476562,2,1
"JOSE DOMINGO CHOQUEHUANCA","AZANGARO",2,342.612548828125,2,1
"SAN JUAN DEL ORO","SANDIA",2,14.7902202606201,2,1
"TIQUILLACA","PUNO",2,287.895178794861,2,1
"CUYOCUYO","SANDIA",1,20.7630481719971,1,1
"NUÑOA","MELGAR",1,10.373927116394,1,1
